"Statistic Label","Year","Destination","Degree of Urbanisation","NUTS 2 Region","UNIT","VALUE"
"Irish Resident","2017","All Destinations","Densely populated","Ireland","Number of nights spent","6441013"
"Irish Resident","2017","All Destinations","Densely populated","Northern & Western","Number of nights spent","1223614"
"Irish Resident","2017","All Destinations","Densely populated","Southern","Number of nights spent","870383"
"Irish Resident","2017","All Destinations","Densely populated","Eastern & Midland","Number of nights spent","4347016"
"Irish Resident","2017","All Destinations","Intermediate populated","Ireland","Number of nights spent","4996974"
"Irish Resident","2017","All Destinations","Intermediate populated","Northern & Western","Number of nights spent","1801503"
"Irish Resident","2017","All Destinations","Intermediate populated","Southern","Number of nights spent","2151402"
"Irish Resident","2017","All Destinations","Intermediate populated","Eastern & Midland","Number of nights spent","1044069"
"Irish Resident","2017","All Destinations","Thinly populated","Ireland","Number of nights spent","3296859"
"Irish Resident","2017","All Destinations","Thinly populated","Northern & Western","Number of nights spent","1294290"
"Irish Resident","2017","All Destinations","Thinly populated","Southern","Number of nights spent","1805358"
"Irish Resident","2017","All Destinations","Thinly populated","Eastern & Midland","Number of nights spent","197211"
"Irish Resident","2017","All Destinations","All degrees of urbanisation","Ireland","Number of nights spent","14734846"
"Irish Resident","2017","All Destinations","All degrees of urbanisation","Northern & Western","Number of nights spent","4319407"
"Irish Resident","2017","All Destinations","All degrees of urbanisation","Southern","Number of nights spent","4827143"
"Irish Resident","2017","All Destinations","All degrees of urbanisation","Eastern & Midland","Number of nights spent","5588296"
"Irish Resident","2017","Costal Destination","Densely populated","Ireland","Number of nights spent",""
"Irish Resident","2017","Costal Destination","Densely populated","Northern & Western","Number of nights spent",""
"Irish Resident","2017","Costal Destination","Densely populated","Southern","Number of nights spent",""
"Irish Resident","2017","Costal Destination","Densely populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2017","Costal Destination","Intermediate populated","Ireland","Number of nights spent",""
"Irish Resident","2017","Costal Destination","Intermediate populated","Northern & Western","Number of nights spent",""
"Irish Resident","2017","Costal Destination","Intermediate populated","Southern","Number of nights spent",""
"Irish Resident","2017","Costal Destination","Intermediate populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2017","Costal Destination","Thinly populated","Ireland","Number of nights spent",""
"Irish Resident","2017","Costal Destination","Thinly populated","Northern & Western","Number of nights spent",""
"Irish Resident","2017","Costal Destination","Thinly populated","Southern","Number of nights spent",""
"Irish Resident","2017","Costal Destination","Thinly populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2017","Costal Destination","All degrees of urbanisation","Ireland","Number of nights spent","9615620"
"Irish Resident","2017","Costal Destination","All degrees of urbanisation","Northern & Western","Number of nights spent","3347467"
"Irish Resident","2017","Costal Destination","All degrees of urbanisation","Southern","Number of nights spent","2514005"
"Irish Resident","2017","Costal Destination","All degrees of urbanisation","Eastern & Midland","Number of nights spent","3754148"
"Irish Resident","2017","Non-Costal Destination","Densely populated","Ireland","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","Densely populated","Northern & Western","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","Densely populated","Southern","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","Densely populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","Intermediate populated","Ireland","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","Intermediate populated","Northern & Western","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","Intermediate populated","Southern","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","Intermediate populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","Thinly populated","Ireland","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","Thinly populated","Northern & Western","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","Thinly populated","Southern","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","Thinly populated","Eastern & Midland","Number of nights spent",""
"Irish Resident","2017","Non-Costal Destination","All degrees of urbanisation","Ireland","Number of nights spent","5119226"
"Irish Resident","2017","Non-Costal Destination","All degrees of urbanisation","Northern & Western","Number of nights spent","971940"
"Irish Resident","2017","Non-Costal Destination","All degrees of urbanisation","Southern","Number of nights spent","2313138"
"Irish Resident","2017","Non-Costal Destination","All degrees of urbanisation","Eastern & Midland","Number of nights spent","1834148"
"Irish Resident","2018","All Destinations","Densely populated","Ireland","Number of nights spent","7067025"
"Irish Resident","2018","All Destinations","Densely populated","Northern & Western","Number of nights spent","1143745"
"Irish Resident","2018","All Destinations","Densely populated","Southern","Number of nights spent","659267"
"Irish Resident","2018","All Destinations","Densely populated","Eastern & Midland","Number of nights spent","5264013"
"Irish Resident","2018","All Destinations","Intermediate populated","Ireland","Number of nights spent","5540861"
"Irish Resident","2018","All Destinations","Intermediate populated","Northern & Western","Number of nights spent","1538423"
"Irish Resident","2018","All Destinations","Intermediate populated","Southern","Number of nights spent","2878474"
"Irish Resident","2018","All Destinations","Intermediate populated","Eastern & Midland","Number of nights spent","1123964"
"Irish Resident","2018","All Destinations","Thinly populated","Ireland","Number of nights spent","5649952"
"Irish Resident","2018","All Destinations","Thinly populated","Northern & Western","Number of nights spent","2182140"
"Irish Resident","2018","All Destinations","Thinly populated","Southern","Number of nights spent","2460957"
"Irish Resident","2018","All Destinations","Thinly populated","Eastern & Midland","Number of nights spent","1006855"
"Irish Resident","2018","All Destinations","All degrees of urbanisation","Ireland","Number of nights spent","18257838"
"Irish Resident","2018","All Destinations","All degrees of urbanisation","Northern & Western","Number of nights spent","4864308"
